"ch"	"age"
"0101000"	"A"
"0100000"	"A"
"0101100"	"A"
"0100000"	"A"
"0101100"	"A"
"0100000"	"A"
"0110000"	"A"
"0111000"	"A"
"0111000"	"A"
"0100000"	"A"
"0111110"	"A"
"0111111"	"A"
"0111100"	"A"
"0110000"	"A"
"0111100"	"A"
"0100000"	"A"
"1100000"	"A"
"0100000"	"A"
"0111110"	"A"
"0100000"	"A"
"0110000"	"A"
"0100000"	"A"
"0100000"	"A"
"0100000"	"A"
"1000000"	"A"
"0100000"	"A"
"0111000"	"A"
"0100000"	"A"
"0110000"	"A"
"0110000"	"A"
"0100000"	"A"
"0100000"	"A"
"0100000"	"A"
"1000100"	"A"
"0100000"	"A"
"0101000"	"A"
"0101000"	"A"
"0111110"	"A"
"0111110"	"A"
"1000010"	"A"
"0101000"	"A"
"0111100"	"A"
"1111100"	"A"
"1011100"	"A"
"0101000"	"A"
"1110010"	"A"
"0111000"	"A"
"0111000"	"A"
"1100000"	"A"
"1000000"	"A"
"1110100"	"A"
"1100000"	"A"
"0100100"	"A"
"0111100"	"A"
"1100000"	"A"
"0111111"	"A"
"1000000"	"A"
"0100000"	"A"
"0111100"	"A"
"0100000"	"A"
"0100000"	"A"
"0111111"	"A"
"0110000"	"A"
"0100000"	"A"
"0010000"	"A"
"0010000"	"A"
"1111000"	"A"
"0100010"	"A"
"0010000"	"A"
"0010000"	"A"
"0010000"	"A"
"0011110"	"A"
"1100000"	"A"
"1111100"	"A"
"1100000"	"A"
"0011000"	"A"
"0010000"	"A"
"1000000"	"A"
"1111000"	"A"
"1000000"	"A"
"0010001"	"A"
"0010000"	"A"
"0011100"	"A"
"1100000"	"A"
"0010000"	"A"
"0011000"	"A"
"1111110"	"A"
"1000000"	"A"
"1000010"	"A"
"1100000"	"A"
"1100000"	"A"
"1111111"	"A"
"1000000"	"A"
"1111110"	"A"
"1100010"	"A"
"1110000"	"A"
"1110000"	"A"
"1111111"	"A"
"1100000"	"A"
"1100100"	"A"
