"ch"	"Year"	"Day_of_Season"
"1111000000000000000000.0..."	"2009"	49
"1111100111100110111010.0..."	"2009"	49
"11.11.0011101010110101....."	"2009"	49
"11.11.0011101010110111....."	"2009"	49
"11.11.0011111010110111....."	"2009"	49
"1111.....0.0000000.0000...."	"2009"	50
"1111011111.11111.1111111.01"	"2009"	44
"1001111111.111001.0........"	"2009"	54
"1001111111.111001.0........"	"2009"	54
"1000000000000000000.00.0000"	"2006"	41
"1000000000000000000.00.0000"	"2006"	41
"101.00000000000000000000000"	"2006"	41
"101.00000000000000000000000"	"2006"	41
"0000100.0000000000000000000"	"2006"	37
"100000000000000000000000.00"	"2006"	42
"1000.000000000000.000000.00"	"2009"	16
"01.1.0000000000000000000000"	"2009"	16
"01.1.1000001000000000000000"	"2009"	16
"101011111001010000111111110"	"2009"	26
"101101100000000000000000000"	"2009"	26
"01011110100000000000000.000"	"2009"	31
"00100000000000000.000......"	"2006"	49
"1101.1.1010111.....00000000"	"2009"	34
"101111.1.0000010.....000000"	"2009"	32
"1101001000000000000.000.0.0"	"2009"	35
"110101110100.00000000000000"	"2009"	36
"1.111111010000.....0.000000"	"2009"	40
"1111111111110000.....0.0000"	"2009"	38
"00100000001000000.000......"	"2006"	49
"1101.1.00.00.00000000000000"	"2009"	42
"1111.1111101111101111111001"	"2009"	44
"10.0000000000000000000000.0"	"2009"	46
"10.1111100111111110000000.0"	"2009"	46
"10.1111100111101110101111.1"	"2009"	46
"111100111101110111010.0...."	"2009"	50
"111100111101110101010.1...."	"2009"	50
"10.1111100111111111000000.0"	"2009"	46
"00100000000000000.000......"	"2006"	49
"0011100111101110101010.0..."	"2009"	49
"11100111101110111010.0....."	"2009"	51
"11100011101010110000.0....."	"2009"	51
"11100011111010110000.0....."	"2009"	51
"110.0111101110000000......."	"2009"	51
"110.0111101110011010......."	"2009"	51
"10100111101010101010.0....."	"2009"	51
"11000111101010101010.0....."	"2009"	51
"10.1111100111101110101111.1"	"2009"	46
".10.0111101110011010......."	"2009"	51
"111001001000000000000......"	"2006"	50
".11.0111101110011010......."	"2009"	51
"1000111101110000000.0......"	"2009"	52
"0111111110111011.0........."	"2009"	55
"11111011011111.0..........."	"2009"	57
"11110.0...........000......"	"2009"	66
"11110.0...........000......"	"2009"	66
"01110.0...........000......"	"2009"	66
"1000.0...........000......."	"2009"	67
"1100.0...........000......."	"2009"	67
"1110.0...........000......."	"2009"	67
"100.............0.........."	"2009"	70
"011.............1.........."	"2009"	70
"001.............1.........."	"2009"	70
"111000010011.01101000100110"	"2010"	0
"111000010011.01101000100110"	"2010"	0
"1010000011.0000101100000100"	"2010"	2
"0101110101.0110000010001011"	"2010"	2
"1000010000000000000000000.."	"2006"	46
"0101110101.0110000010001011"	"2010"	2
"1001111111.111001.0........"	"2009"	54
"01100000000000000.0........"	"2009"	54
"1111010111110000.0........."	"2009"	55
"100100010101110.0.........."	"2009"	56
"100100010101000.0.........."	"2009"	56
"100100010101110.0.........."	"2009"	56
"11111011011111.0..........."	"2009"	57
"1.1111111.1000............."	"2009"	59
"1.1111111.1001............."	"2009"	59
"101111111010.0...........00"	"2009"	59
"11100000000..............0."	"2009"	60
"111111111.1000............."	"2009"	59
"1111111010.0...........000."	"2009"	61
"11111.1............11......"	"2009"	66
"11000...............0......"	"2009"	66
"11010...............1......"	"2009"	66
"0111.1............11......."	"2009"	67
"11111.1............11......"	"2009"	66
"100..0.011.010.01.110100111"	"2010"	2
"100..0.111.010.01.110100111"	"2010"	2
"111110000010000000000000000"	"2009"	25
"111111110000000000000000000"	"2009"	25
"101111101100010010110001111"	"2009"	26
"101101100100100101110101111"	"2009"	26
"01111000000..............0."	"2009"	60
"100..0.111.010.01.110000000"	"2010"	2
"0101000100.0110000010001011"	"2010"	2
"10..0.001.011.10.0100100110"	"2010"	3
"11..0.000.000.00.0000000000"	"2010"	3
"01..1.101.110.11.1000000000"	"2010"	3
"01..1.101.110.11.1001000000"	"2010"	3
"110010000000000000........."	"2006"	53
"100010110101011110100000000"	"2010"	13
"100010110101011110101000110"	"2010"	13
".101.10.000000000000000.0.."	"2010"	12
".100.10.000000000000000.0.."	"2010"	12
".101.00.000000000000000.0.."	"2010"	12
"100100010001001010100111001"	"2010"	14
"100100010101000010100000000"	"2010"	14
"100100010101000010100111001"	"2010"	14
"110000000000000000000000000"	"2010"	17
"011000000000000000000000000"	"2010"	19
"010100000000000000000000000"	"2010"	20
"011000000000000000000000000"	"2010"	20
"010100000000000000000000000"	"2010"	20
"101100000000000000000000000"	"2010"	22
"101000000000000000000000000"	"2010"	22
"100010000000000000000000000"	"2010"	29
"100010000000000000000000000"	"2010"	29
"1101100..0..00..0.........."	"2010"	55
"1101100..0..00..0.........."	"2010"	55
"100000..0..00..0..........."	"2010"	56
"11.11...0....00............"	"2010"	57
"11.11...0....00............"	"2010"	57
"10.11...0....00............"	"2010"	57
"1..0......................."	"2010"	68
"1..0......................."	"2010"	68
"11........................."	"2010"	70
"110010000000000000........."	"2006"	53
"11........................."	"2010"	70
"01........................."	"2010"	70
"01........................."	"2010"	70
"1.........................."	"2010"	71
"1.........................."	"2010"	71
"11111000000000000.........."	"2006"	54
"110..0000...0.0...00.0000.0"	"2011"	14
"111..1000...0.1...00.0010.0"	"2011"	14
"111..1000...0.0...00.0000.0"	"2011"	14
"111000000000000.00000.0000."	"2011"	17
"111000000000000.00000.0000."	"2011"	17
"111000000000000.00000.0000."	"2011"	17
"11111000000000000.........."	"2006"	54
"11010111111001.00010.0101.1"	"2011"	18
"11100101110010.00010.0101.0"	"2011"	18
"11100000000000.00000.0000.0"	"2011"	18
"1010101110010.01000.0000.00"	"2011"	19
"1010101110010.01000.1010.10"	"2011"	19
"1010111110000.10110.0100.00"	"2011"	19
"100...0.1...00.1100.0.1..1."	"2011"	20
"1101.1111...00.11001011.11."	"2011"	20
"100...0.1...00.1100.0.1..1."	"2011"	20
"110101110000.00010.1010.110"	"2011"	20
"11111000000000000.........."	"2006"	54
"110101111000.00110.1011.110"	"2011"	20
"1010111110010.11010.0100.00"	"2011"	19
"1010101110010.01000.1010.10"	"2011"	19
"1000000000.00000.0000.00000"	"2011"	22
"111111001.00011.0101.100100"	"2011"	23
"111111001.10011.0101.110100"	"2011"	23
"111111110.11110.1011.110101"	"2011"	23
"11000000.10010.0001.000100."	"2011"	24
"11111110.11110.1011.110101."	"2011"	24
"0010000011.0000101100010100"	"2010"	2
"01..0.001.011.10.1100100110"	"2010"	3
"0100001.0100000000000000000"	"2010"	5
"0100110.0100010010101001010"	"2010"	5
"0110011.0100010100011101010"	"2010"	5
"0110010.0000000000000000000"	"2010"	5
"10000.000000000000000000000"	"2010"	7
"10000.000000011010110101011"	"2010"	7
"10000.000000000000000000000"	"2010"	7
"10000.000000000000000000000"	"2010"	7
"01001.000010110000100000000"	"2010"	7
"01001.000010110001101101010"	"2010"	7
"01001.000010110001101101000"	"2010"	7
"00000001.010001011010000000"	"2010"	4
"00000001.010001011011010101"	"2010"	4
"1.0000111001010010010011000"	"2010"	11
"1.0000111000010010010011000"	"2010"	11
"1.0100000000000000000000000"	"2010"	11
"1.0100000000000000000000000"	"2010"	11
"100010110100000000000000000"	"2010"	14
"100010110101101010000000000"	"2010"	14
"110101100110110101010101101"	"2010"	14
"110101100110110101010101101"	"2010"	14
"100000000000000000000000000"	"2010"	14
"100000110101100000000000000"	"2010"	14
"100010110101101010101010111"	"2010"	14
"0.0100000000000000000000000"	"2010"	11
"010101100100000000000000000"	"2010"	14
"01.01001.1.1.11.1.1..11.111"	"2010"	14
"01.01001.1.1.11.1.1..11.111"	"2010"	14
"011000101010010101011010100"	"2010"	15
"010101101010010101000101111"	"2010"	15
"110100000000000000000000000"	"2010"	16
"100010010110101001101000010"	"2010"	16
"100010011110101001101011010"	"2010"	16
"100000010110101001101011110"	"2010"	16
"001010110100000000000000000"	"2010"	14
"001000000000000000000000000"	"2010"	14
"11001000000.000............"	"2006"	55
"110000000000000000000000000"	"2010"	17
"11.11.1...00...0..........."	"2010"	19
"11.00.0...00...0..........."	"2010"	19
"11.00.0...00...0..........."	"2010"	19
"110100010101000000000000000"	"2010"	19
"110110100101010100000000000"	"2010"	19
"110110100101010101010011101"	"2010"	19
"110000000000000000000000000"	"2010"	19
"110000000000000000000000000"	"2010"	19
"100100000000000000000000000"	"2010"	20
"100000000000000000000000000"	"2010"	20
"011000010000000000000000000"	"2010"	19
"011000000000000000000000000"	"2010"	19
"100000110101100000000000000"	"2010"	14
"10000000000000.0..0..000.00"	"2010"	21
"001100000000000000000000000"	"2010"	20
"001101101010111010101000110"	"2010"	20
"100000000000000000000000000"	"2010"	22
"101110101001000000000000000"	"2010"	22
"100110101001000000000000000"	"2010"	22
"001110101000000000000000000"	"2010"	22
"1001001001.111............."	"2006"	56
"111000000000000000000000000"	"2010"	25
