"FirstFound"	"LastPresent"	"LastChecked"	"Fate"	"Freq"	"NestAge"	"Year"	"std_time"
"171"	18	42	42	0	1	-17	"2007"	-0.654918399
"172"	18	40	40	0	1	-15	"2007"	-0.755094057
"173"	28	52	52	0	1	-27	"2007"	-0.10395228
"174"	28	56	56	0	1	-27	"2007"	0.146486865
"175"	28	54	54	0	1	-27	"2007"	-0.003776622
"176"	10	30	30	0	1	-6	"2007"	-1.205884519
"177"	18	40	40	0	1	-15	"2007"	-0.755094057
"178"	28	42	45	1	1	-26	"2007"	-0.154040109
"179"	31	54	54	0	1	-29	"2007"	-0.003776622
"180"	31	55	55	0	1	-30	"2007"	0.046311207
"181"	49	68	68	0	1	-43	"2007"	0.747540813
"182"	49	72	72	0	1	-47	"2007"	0.947892129
"183"	49	69	69	0	1	-44	"2007"	0.797628642
"184"	13	20	24	1	1	-13	"2007"	-0.805181886
"185"	10	20	22	1	1	1	"2007"	-1.506411493
"186"	60	74	77	1	1	-58	"2007"	1.498858248
"187"	11	41	41	0	1	-10	"2007"	-0.705006228
"188"	46	69	69	0	1	-44	"2007"	0.797628642
"189"	53	78	78	0	1	-53	"2007"	1.248419103
"190"	53	75	78	1	1	-48	"2007"	0.997979958
"191"	63	73	77	1	1	-61	"2007"	1.649121735
"192"	66	66	69	1	1	-65	"2007"	1.849473051
"193"	10	32	34	1	1	1	"2007"	-1.506411493
"194"	15	44	44	0	1	-14	"2007"	-0.504654912
"195"	13	15	18	1	1	-3	"2007"	-1.356148006
"196"	17	36	36	0	1	-11	"2007"	-0.955445373
"197"	32	64	67	1	1	-22	"2007"	-0.354391425
"198"	58	83	83	0	1	-58	"2007"	1.498858248
"199"	16	27	27	0	1	-2	"2007"	-1.406235835
"200"	17	43	43	0	1	-16	"2007"	-0.554742741
"201"	17	32	35	1	1	-7	"2007"	-1.155796689
"202"	22	41	41	0	1	-16	"2007"	-0.705006228
"203"	45	56	59	1	1	-44	"2007"	0.797628642
"204"	55	78	78	0	1	-53	"2007"	1.248419103
"205"	10	30	33	1	1	-5	"2007"	-1.255972348
"206"	10	17	21	1	1	2	"2007"	-1.556499322
"207"	69	82	85	1	1	-68	"2007"	1.999736538
"208"	10	20	20	0	1	6	"2007"	-1.756850638
"209"	11	14	17	1	1	4	"2007"	-1.65667498
"210"	12	25	28	1	1	-2	"2007"	-1.406235835
"211"	13	22	22	0	1	4	"2007"	-1.65667498
"212"	13	42	42	0	1	-13	"2007"	-0.654918399
"213"	15	23	27	1	1	-14	"2007"	-0.654918399
"214"	64	77	77	0	1	-52	"2007"	1.198331274
"215"	51	78	78	0	1	-51	"2007"	1.148243445
"216"	51	68	68	0	1	-43	"2007"	0.747540813
"217"	51	77	77	0	1	-50	"2007"	1.198331274
"218"	52	79	79	0	1	-52	"2007"	1.198331274
"219"	52	77	77	0	1	-52	"2007"	1.198331274
"220"	56	83	83	0	1	-55	"2007"	1.498858248
"221"	56	77	77	0	1	-52	"2007"	1.198331274
"222"	56	80	80	0	1	-55	"2007"	1.348594761
"223"	66	82	85	1	1	-64	"2007"	1.799385222
"224"	60	64	67	1	1	-60	"2007"	1.599033906
"225"	62	79	79	0	1	-54	"2007"	1.298506932
"226"	69	83	83	0	1	-58	"2007"	1.498858248
"227"	69	71	74	1	1	-68	"2007"	1.999736538
"228"	13	36	36	0	1	-11	"2007"	-0.955445373
"229"	22	42	42	0	1	-17	"2007"	-0.654918399
"230"	26	42	42	0	1	-17	"2007"	-0.654918399
"231"	26	33	36	1	1	-18	"2007"	-0.554742741
"232"	54	72	72	0	1	-47	"2007"	0.947892129
"233"	55	79	79	0	1	-54	"2007"	1.298506932
"234"	63	80	80	0	1	-55	"2007"	1.348594761
"235"	11	24	24	0	1	2	"2007"	-1.556499322
"236"	39	67	67	0	1	-35	"2007"	0.697452984
"237"	51	70	70	0	1	-45	"2007"	0.847716471
"238"	51	51	54	1	1	-41	"2007"	0.647365155
"239"	55	75	75	0	1	-50	"2007"	1.098155616
"240"	57	80	80	0	1	-55	"2007"	1.348594761
"241"	36	61	61	0	1	-34	"2007"	0.39692601
"242"	68	81	85	1	1	-66	"2007"	1.89956088
"243"	62	79	79	0	1	-54	"2007"	1.298506932
"244"	67	71	74	1	1	-63	"2007"	1.749297393
"245"	60	63	63	0	1	-38	"2007"	0.497101668
"246"	3	27	27	0	1	-1	"2008"	-1.406235835
"247"	16	48	48	0	1	-16	"2008"	-0.304303596
"248"	10	20	23	1	1	3	"2008"	-1.606587151
